ID,CPU_Frequency_GHz,CPU_Cores,CPU_Brand,CPU_Generation,RAM_GB,Storage_GB,Storage_Type,GPU_Type,GPU_Model,GPU_Memory_GB,WIFI,WIFI_Standard,Bluetooth,Bluetooth_Version,Computer_Type,Operating_System,USB_3_Ports,USB_C_Ports,USB_2_Ports,Ethernet_Speed,Brand,Model,Purchase_Date,Age_Days,Condition,Price_USD,Power_Consumption_W,Weight_kg,Screen_Size_inch,Case_Type
PC-0060,2.43,8.0,Intel Core i7,12.0,32.0,8000.0,SSHD,Integrated,Intel Iris Xe,Shared,False,,True,5.1,Gaming PC,Windows 11,7.0,3.0,1.0,2.5Gbps,Dell,ZBook 6573,2025-09-19,147.0,Like New,3012.0,186.0,,,Mini Tower
PC-0061,2.69,12.0,Intel Xeon,10.0,8.0,512.0,HDD,Dedicated,AMD Radeon RX 7900,6,False,,True,4.0,Workstation,Windows 10,1.0,2.0,4.0,2.5Gbps,Apple,Inspiron 5808,2022-09-28,1234.0,Good,1547.0,269.0,,,Mid Tower
PC-0062,2.21,32.0,Intel Xeon,9.0,32.0,128.0,HDD,Integrated,Intel Iris Xe,Shared,True,802.11a/b/g,True,5.0,Mini PC,Windows 11,6.0,1.0,3.0,100Mbps,Custom Built,ROG 3591,2024-04-14,670.0,Good,2512.0,227.0,,,
PC-0063,4.5,10.0,AMD Ryzen 3,10.0,128.0,1000.0,NVMe,Dedicated,NVIDIA RTX 3060,6,True,802.11ax,True,4.2,Server,Windows 11,0.0,2.0,2.0,100Mbps,HP,Predator 1053,2022-03-08,1438.0,New,2320.0,424.0,,,
PC-0064,2.56,6.0,Intel Core i7,10.0,32.0,1000.0,HDD,Integrated,Intel UHD,Shared,True,802.11n,True,5.3,Server,Linux Server,3.0,2.0,4.0,2.5Gbps,Samsung,ZBook 9201,2024-04-19,665.0,New,1279.0,206.0,,,
PC-0065,2.25,6.0,AMD Ryzen 7,8.0,8.0,1000.0,NVMe,Integrated,Intel Iris Xe,Shared,True,802.11n,True,4.2,Laptop,Windows 11,7.0,1.0,0.0,1Gbps,Acer,ThinkPad 9317,2023-10-11,856.0,Good,1213.0,94.0,3.5,14.0,
PC-0066,3.33,10.0,Intel Core i3,12.0,,512.0,HDD,Dedicated,NVIDIA GTX 1650,4,True,802.11n,True,5.0,Laptop,macOS Ventura,1.0,0.0,5.0,1Gbps,HP,Inspiron 5889,2025-03-20,330.0,Like New,1946.0,319.0,1.7,24.0,
PC-0067,1.68,4.0,AMD Ryzen 3,10.0,16.0,128.0,HDD,Dedicated,AMD Radeon RX 6600,16,True,802.11ax,True,5.1,Mini PC,Windows Server,6.0,1.0,1.0,2.5Gbps,HP,Vostro 4258,2023-09-02,895.0,New,843.0,229.0,,,
PC-0068,4.39,4.0,Intel Core i7,9.0,16.0,8000.0,SSHD,None,,,True,802.11ac,False,,Laptop,Fedora,7.0,0.0,1.0,1Gbps,Apple,ThinkPad 7126,2022-05-09,1376.0,Fair,2457.0,158.0,2.0,13.3,
PC-0069,1.41,6.0,Intel Xeon,7.0,16.0,512.0,SSD,None,,,True,802.11ax,True,5.0,Laptop,Windows 10,2.0,1.0,2.0,100Mbps,Dell,ThinkPad 9837,2022-11-14,1187.0,Good,865.0,93.0,2.7,17.3,
PC-0070,5.15,4.0,Intel Core i3,8.0,16.0,1000.0,NVMe,Integrated,Intel UHD,Shared,True,802.11ac,True,4.2,Laptop,Windows 11,2.0,3.0,5.0,1Gbps,Custom Built,Vostro 1009,2025-11-04,101.0,Like New,1219.0,88.0,3.2,15.6,
PC-0071,4.27,4.0,AMD Ryzen 5,13.0,128.0,2000.0,SSD,Integrated,Intel UHD,4GB,True,802.11ac,True,5.1,Laptop,Windows 11,0.0,2.0,3.0,None,MSI,MacBook 9005,2025-03-23,327.0,New,1917.0,154.0,1.1,14.0,
PC-0072,1.91,4.0,AMD Ryzen 7,9.0,32.0,1000.0,SSD,Dedicated,AMD Radeon RX 7900,12,True,802.11n,True,4.0,Laptop,Windows 11,4.0,0.0,4.0,2.5Gbps,Lenovo,XPS 2832,2025-03-23,327.0,Good,1126.0,246.0,1.8,13.3,
PC-0073,1.12,,AMD Ryzen 3,8.0,16.0,512.0,SSD,None,,,True,802.11ac,True,4.0,Desktop,Windows 11,0.0,2.0,5.0,1Gbps,HP,MacBook 6038,2022-11-22,1179.0,Good,661.0,73.0,,,Mid Tower
PC-0074,4.44,2.0,Intel Core i3,10.0,256.0,512.0,SSD,Dedicated,AMD Radeon RX 7900,16,True,802.11ac,True,5.0,All-in-One,Debian,6.0,0.0,4.0,10Gbps,Acer,EliteBook 1949,2026-02-03,10.0,Good,2141.0,343.0,,15.6,
PC-0075,4.0,32.0,AMD EPYC,9.0,256.0,1000.0,SSD,Dedicated,AMD Radeon RX 6600,12,True,802.11ac,False,,Laptop,Windows 11,0.0,1.0,4.0,2.5Gbps,Apple,EliteBook 2290,2025-02-25,353.0,Like New,4311.0,498.0,2.4,15.6,
PC-0076,4.09,6.0,AMD Ryzen 3,6.0,256.0,4000.0,SSD,Dedicated,NVIDIA RTX 3060,6,True,802.11ac,False,,Laptop,Ubuntu 20.04,3.0,1.0,3.0,100Mbps,HP,Inspiron 8962,2025-08-14,183.0,Good,3509.0,398.0,2.5,14.0,
PC-0077,4.26,6.0,AMD Ryzen 5,9.0,16.0,4000.0,SSD,Integrated,Intel UHD,Shared,True,802.11ax,True,5.2,Desktop,Linux Server,3.0,1.0,3.0,100Mbps,Apple,Inspiron 9727,2024-11-15,455.0,Poor,,128.0,,,Small Form Factor
PC-0078,1.4,8.0,Intel Core i5,10.0,32.0,256.0,HDD,Dedicated,NVIDIA GTX 1650,8,True,802.11n,True,5.1,Desktop,Windows 10,5.0,3.0,3.0,1Gbps,Custom Built,ThinkPad 3103,2026-02-07,6.0,Like New,1278.0,259.0,,,Mini Tower
PC-0079,2.57,4.0,AMD Ryzen 3,10.0,1024.0,256.0,NVMe,Dedicated,NVIDIA RTX 3060,6,True,802.11ax,True,5.0,Desktop,Windows 11,6.0,1.0,2.0,10Gbps,Dell,Predator 3705,2022-05-28,1357.0,Like New,5580.0,735.0,,,Mid Tower
PC-0080,1.58,24.0,Intel Core i9,9.0,128.0,4000.0,HDD,Dedicated,NVIDIA RTX 4080,24,True,802.11a/b/g,True,5.1,Workstation,macOS Ventura,4.0,1.0,1.0,1Gbps,Lenovo,ZBook 9645,2022-05-28,1357.0,Fair,2973.0,424.0,,,Mid Tower
PC-0081,4.64,10.0,Intel Core i3,10.0,4.0,2000.0,SSD,Integrated,Intel Iris Xe,Shared,True,802.11ac,True,5.0,Desktop,Windows 10,7.0,3.0,0.0,2.5Gbps,Microsoft,ROG 4470,2022-08-11,1282.0,New,1719.0,122.0,,,Mid Tower
PC-0082,3.66,2.0,Intel Core i5,14.0,8.0,4000.0,HDD,Integrated,Intel Iris Xe,Shared,True,802.11ac,True,5.3,Mini PC,Ubuntu 22.04,6.0,2.0,3.0,1Gbps,Dell,Vostro 4295,2025-07-17,211.0,Like New,1927.0,104.0,,,
PC-0083,,6.0,AMD Ryzen 9,9.0,32.0,256.0,SSD,Integrated,Intel UHD,2GB,True,802.11ac,False,,Desktop,Windows 10,6.0,2.0,1.0,1Gbps,Custom Built,ZBook 7537,2025-12-24,51.0,New,1220.0,99.0,,,Mini Tower
PC-0084,1.36,12.0,Intel Core i5,9.0,256.0,1000.0,NVMe,Integrated,Intel UHD,Shared,True,802.11ac,True,4.0,Desktop,Fedora,4.0,0.0,3.0,10Gbps,Lenovo,MacBook 8177,2022-02-05,1469.0,Like New,2544.0,248.0,,,Mini Tower
PC-0085,2.38,24.0,Intel Core i5,8.0,32.0,2000.0,HDD,Dedicated,AMD Radeon RX 6600,6,True,802.11ac,False,,Desktop,Windows 11,6.0,2.0,0.0,None,HP,Vostro 8397,2023-05-10,1010.0,Like New,2147.0,356.0,,,Mid Tower
PC-0086,2.43,6.0,AMD Ryzen 3,10.0,32.0,1000.0,HDD,Integrated,Intel UHD,Shared,True,802.11ac,False,,Desktop,Windows 11,4.0,0.0,5.0,1Gbps,Dell,Inspiron 5061,2025-02-01,377.0,New,1327.0,106.0,,,Mid Tower
PC-0087,4.09,8.0,AMD Ryzen 7,11.0,8.0,512.0,HDD,Integrated,Intel UHD,Shared,True,802.11ax,False,,Server,Ubuntu 22.04,4.0,0.0,3.0,None,Dell,EliteBook 2049,2024-05-14,640.0,Fair,1242.0,199.0,,,
PC-0088,3.71,4.0,Intel Core i3,8.0,64.0,128.0,SSD,Integrated,Intel UHD,Shared,True,802.11ac,True,5.1,All-in-One,Windows 10,4.0,2.0,1.0,2.5Gbps,HP,MacBook 1344,2024-01-05,770.0,Good,1326.0,103.0,,14.0,
PC-0089,4.74,64.0,AMD Ryzen 5,,128.0,1000.0,NVMe,Dedicated,AMD Radeon RX 6600,8,True,802.11ax,True,5.3,Laptop,Windows 11,6.0,2.0,2.0,2.5Gbps,Dell,Vostro 4770,2023-03-06,1075.0,Good,5734.0,594.0,1.2,15.6,
PC-0090,3.04,4.0,Intel Core i5,6.0,32.0,512.0,HDD,Dedicated,AMD Radeon RX 7900,6,True,802.11n,True,5.2,Desktop,Windows 11,6.0,3.0,5.0,2.5Gbps,Lenovo,EliteBook 1117,2025-09-12,154.0,Like New,1180.0,241.0,,,Full Tower
PC-0091,1.59,24.0,Intel Core i3,10.0,128.0,512.0,NVMe,Integrated,Intel UHD,Shared,True,802.11ac,True,4.2,Desktop,Windows 11,0.0,0.0,5.0,100Mbps,Dell,Inspiron 1964,2024-07-11,582.0,Good,2868.0,239.0,,,Full Tower
PC-0092,4.02,8.0,Intel Core i3,12.0,1024.0,8000.0,SSD,Integrated,Intel Iris Xe,Shared,False,,True,5.0,Laptop,Ubuntu 20.04,6.0,2.0,5.0,100Mbps,Acer,EliteBook 2104,2023-12-18,788.0,Like New,7977.0,682.0,2.7,15.6,
PC-0093,,8.0,AMD Ryzen 9,9.0,16.0,512.0,SSD,Integrated,Intel Iris Xe,2GB,True,802.11ac,False,,Gaming PC,Ubuntu 22.04,0.0,2.0,0.0,1Gbps,Samsung,XPS 6413,2023-12-15,791.0,Fair,1444.0,103.0,,,Mid Tower
