"CustomerID","Churn","MonthlyRevenue","MonthlyMinutes","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","PercChangeMinutes","PercChangeRevenues","DroppedCalls","BlockedCalls","UnansweredCalls","CustomerCareCalls","ThreewayCalls","ReceivedCalls","OutboundCalls","InboundCalls","PeakCallsInOut","OffPeakCallsInOut","DroppedBlockedCalls","CallForwardingCalls","CallWaitingCalls","MonthsInService","UniqueSubs","ActiveSubs","ServiceArea","Handsets","HandsetModels","CurrentEquipmentDays","AgeHH1","AgeHH2","ChildrenInHH","HandsetRefurbished","HandsetWebCapable","TruckOwner","RVOwner","Homeownership","BuysViaMailOrder","RespondsToMailOffers","OptOutMailings","NonUSTravel","OwnsComputer","HasCreditCard","RetentionCalls","RetentionOffersAccepted","NewCellphoneUser","NotNewCellphoneUser","ReferralsMadeBySubscriber","IncomeGroup","OwnsMotorcycle","AdjustmentsToCreditRating","HandsetPrice","MadeCallToRetentionTeam","CreditRating","PrizmCode","Occupation","MaritalStatus"
3000054,"No",25.23,2,25,0,0,0,-2,-0.2,0,0,0.3,0,0,1.1,0.3,0,0.7,0.7,0,0,0,53,2,2,"SANMCA210",2,2,354,0,0,"No","No","Yes","Yes","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,"7","No",0,"30","No","1-Highest","Other","Other","Unknown"
3000058,"No",212.51,1972,85,2.23,250,35.5,-200,-106.8,9,0,43.7,0.3,0,718.1,49.3,4.7,351.7,128.7,9,0,1,59,5,1,"SLCSLC801",10,6,199,30,22,"Yes","No","Yes","No","No","Known","No","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,"3","No",1,"80","No","4-Medium","Suburban","Other","No"
3000062,"No",42.56,270,37,0.25,6,0,202,-1.8,3.3,1.7,7.7,1,0,57.1,11,3.7,62.3,18,5,0,0.3,55,2,2,"OKCOKC405",5,4,697,58,58,"Yes","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,"1","No",1,"30","No","3-Good","Suburban","Other","Unknown"
3000066,"No",63.02,440,60,0,6,1.3,-16,0.2,5,0,17.3,3.7,0.3,93.9,0,0,141.3,14.3,5,0,1.7,57,1,1,"SLCSLC801",3,2,530,99,0,"No","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,"3","No",0,"30","No","3-Good","Town","Other","Unknown"
3000078,"No",50.97,162,70,0,2,0,-58,-1,1.7,0.3,9,0.3,0,38.4,34.3,5.7,19.3,42.3,2,0,0,56,1,1,"MILMIL414",4,3,253,30,30,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","Yes","No",0,0,"Yes","No",0,"1","No",0,"10","No","3-Good","Other","Other","No"
3000082,"Yes",172.44,1978,100,0,362,0,-1007,-72.5,7.3,18,114.3,0.3,0.7,515.2,22.7,2.7,718,60.3,25.3,0,20.3,58,2,1,"LOULOU502",4,3,143,48,32,"No","No","Yes","Yes","Yes","Known","Yes","Yes","No","No","No","Yes",1,0,"No","No",0,"6","No",0,"150","Yes","1-Highest","Other","Professional","Unknown"
3000102,"No",29.99,47,30,0,0,0,14,0,0.3,0,2.3,0,0,1,10,1.7,22,3.3,0.3,0,0,54,3,3,"SLCSLC801",3,3,573,52,50,"No","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"9","No",0,"30","No","1-Highest","Other","Other","Unknown"
3000118,"No",30.26,34,30,0,0,0,32,-0.3,0,0,0.7,0,0,0.5,0.3,0,14.3,0,0,0,0,52,1,1,"SANMCA210",2,2,319,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,"0","No",0,"30","No","3-Good","Other","Other","Unknown"
3000122,"Yes",24.49,42,17,0,10,0,81,29.9,0,0,0,0,0,0,0,0,3,0.7,0,0,0,58,2,1,"KCYKCK913",3,3,776,36,0,"No","No","Yes","No","No","Known","No","No","No","No","No","No",0,0,"No","Yes",0,"9","No",0,"30","No","1-Highest","Other","Other","No"
3000126,"No",30,94,30,0,0,0,-54,0,2,1.7,5.3,0,0,19.5,1,0,26.3,19.3,3.7,0,0,54,1,1,"SANMCA210",2,2,1395,42,40,"No","Yes","No","Yes","Yes","Known","No","No","No","No","Yes","Yes",0,0,"Yes","No",0,"3","No",0,"30","No","4-Medium","Rural","Other","Unknown"
3000130,"No",35.55,139,35,0.25,0,0,-11,-0.6,0,0.7,3.3,0,0,72.5,3.7,0.3,27.3,15.3,0.7,0,0.3,52,1,1,"OKCOKC405",4,3,628,40,0,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,"5","No",0,"30","No","1-Highest","Suburban","Professional","Yes"
3000134,"No",21.15,46,17,0,14,0,-16,-4.2,1.3,3,7.3,0,0,2.3,0,0.3,7,14,4.3,0,0,58,1,1,"KCYNEW316",2,2,138,74,74,"No","No","Yes","No","No","Known","Yes","Yes","No","Yes","No","Yes",0,0,"Yes","No",0,"7","No",1,"30","No","1-Highest","Town","Professional","Yes"
3000138,"No",28.5,66,30,0,0,0,41,0,0.3,0,1.3,0,0,26,4.3,0,31.7,6.3,0.3,0,0.3,56,2,1,"SLCSLC801",2,2,917,48,54,"Yes","No","Yes","Yes","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,"9","Yes",0,"30","No","1-Highest","Suburban","Other","Yes"
3000142,"No",99.91,1194,75,0.5,97,0,-14,-0.2,11,5,53.3,2.7,0,288,91.3,12.3,370,65.7,16,0,11.7,54,1,1,"KCYKCM816",4,3,258,28,0,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,"7","No",3,"10","No","1-Highest","Town","Other","Unknown"
3000146,"No",30,156,30,0,0,0,94,0,2,2,3,0,0,13.9,5,4,61.7,14.7,4,0,0,56,2,2,"KCYKCM816",5,3,630,36,38,"Yes","No","Yes","Yes","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,"9","No",0,"150","No","1-Highest","Town","Other","Yes"
3000158,"Yes",33.48,196,30,0,0,2.6,54,8.6,6.7,0.3,6.3,0,0.7,74.1,9.7,5.7,38,19.3,7,0,0,54,2,1,"DENDEN303",4,3,179,50,48,"Yes","Yes","Yes","Yes","Yes","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"9","No",1,"30","No","1-Highest","Suburban","Professional","Yes"
3000162,"No",82.16,660,50,0,101,1.9,-184,-31.6,3,2,10.3,0,0.3,377.5,67.7,1.3,162,32.3,5,0,2.7,57,3,3,"DENDEN303",3,3,107,46,48,"Yes","No","Yes","Yes","Yes","Known","Yes","Yes","No","No","No","Yes",0,0,"No","No",0,"8","No",0,"30","No","1-Highest","Suburban","Other","Yes"
3000166,"No",30,56,30,0,0,0,-47,0,1,0.7,4,0.3,0,13.5,4,3.3,29.3,6,1.7,0,0,53,2,2,"KCYKCK913",4,3,616,74,74,"No","No","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","Yes",0,"9","No",1,"80","No","1-Highest","Suburban","Other","Yes"
3000174,"Yes",16.14,4,17,0,0,0,-4,0,0,1,1.7,0,0,0.2,0,0,3,0.7,1,0,0,55,1,1,"OKCOKC405",1,1,1661,64,64,"No","No","No","No","No","Known","Yes","Yes","No","Yes","Yes","Yes",0,0,"Yes","No",0,"6","No",0,"Unknown","No","1-Highest","Suburban","Professional","Yes"
3000182,"Yes",57.98,684,55,0,3,0,-2,0.6,15.7,1.3,23.7,5,0,203.7,19.3,0.3,131.3,54.3,17,0,0.7,55,2,1,"PHICTR610",2,2,864,50,0,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,"9","No",1,"30","No","3-Good","Suburban","Professional","No"
3000190,"Yes",78.29,852,85,0,0,0,-206,0,10.7,6.3,47,1,0,304.8,54.7,29.7,200.7,74,17,0,6,53,5,4,"SANMCA210",8,3,151,50,50,"No","Yes","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,"5","No",0,"10","No","1-Highest","Town","Crafts","Yes"
3000194,"Yes",107.23,782,25,0,233,0,-258,-80,1,0.7,3,0.3,0,786.7,1.3,0,64.3,119.3,1.7,0,2.7,55,1,1,"DENDEN303",5,4,162,36,38,"Yes","No","Yes","Yes","No","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,"7","Yes",0,"30","No","3-Good","Suburban","Other","Yes"
3000202,"Yes",30.26,24,30,0,0,0,25,-0.3,0,0,2,0.7,0,0.1,3.7,0,4,5.3,0,0,0,51,1,1,"OKCLRK501",3,2,985,72,68,"No","No","Yes","No","No","Known","Yes","Yes","No","Yes","Yes","Yes",0,0,"No","Yes",0,"3","No",1,"30","No","1-Highest","Suburban","Retired","Yes"
3000214,"No",145.79,1293,68,0,265,0,447,22.4,6.7,19.3,39.3,3.3,0,208.1,92,6.3,345.3,86,26,0,3,55,2,2,"OMADES515",4,4,20,64,60,"No","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"9","No",1,"30","No","1-Highest","Suburban","Other","Yes"
3000222,"Yes",50.56,100,50,0,0,0,6,0,0.3,24.3,18.7,0,0,7.8,1,0,19.3,10,24.7,0,0,53,1,1,"SANAUS512",4,3,977,0,0,"No","No","No","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,"0","No",0,"10","No","3-Good","Town","Other","Unknown"
3000226,"Yes",51.24,404,50,0,0,0,50,-1.2,5.3,2.3,12.3,2,0,73.8,19.7,0,130.3,8.3,7.7,0,1,55,1,1,"KCYWIC316",3,3,528,44,0,"Yes","Yes","No","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"6","No",1,"10","No","1-Highest","Rural","Self","No"
3000230,"No",20.18,1,20,0,0,0,0,-0.2,0,0,0,0,0,0.3,0,0,0.7,0.3,0,0,0,50,1,1,"INDIND317",1,1,1536,46,0,"No","No","No","No","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,"7","No",0,"Unknown","No","1-Highest","Town","Other","No"
3000234,"Yes",36.84,36,45,0,0,1.8,0,0.5,0.3,0,2,0,0,1.2,1.7,0.3,5,2.3,0.3,0,0,55,3,2,"SLCPRO801",2,2,1023,40,34,"Yes","No","No","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","Yes",0,"7","No",0,"30","No","1-Highest","Suburban","Professional","Yes"
3000238,"No",37.99,71,38,0,0,0,146,0,0,0.7,2.7,0,0,2.4,1,0,8.3,2.7,0.7,0,0,53,1,1,"OMALNC402",1,1,1597,76,68,"No","No","No","No","No","Known","No","No","No","No","No","Yes",0,0,"No","No",0,"7","No",0,"Unknown","No","1-Highest","Other","Other","Yes"
3000250,"No",91.17,333,75,0,0,0,-31,-5.4,3.3,2,33.7,0.3,0,33.2,9,4.7,201.3,23.3,5.3,0,0.7,50,2,2,"KCYKCK913",3,3,122,30,0,"No","No","Yes","No","No","Known","No","No","No","No","Yes","Yes",0,0,"Yes","No",0,"6","No",0,"10","No","3-Good","Suburban","Other","No"
3000262,"No",29.73,65,30,0.99,2,0,76,-0.3,0,5,2.7,0,0,7.8,1,0,27.3,1,5,0,0.3,50,2,1,"SANAUS512",8,5,530,40,34,"Yes","No","No","Yes","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"6","No",2,"30","No","3-Good","Suburban","Self","Yes"
3000270,"Yes",149.99,2382,150,0,0,0,-230,0,4,22,161,9.7,1.3,391.2,145,102.7,533.7,232.3,26,0,18,56,3,3,"SANMCA210",18,9,307,50,40,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,"6","No",2,"300","No","3-Good","Town","Other","No"
3000282,"No",84.91,745,85,0.5,0,0,367,-8.9,3,12.3,51.7,2.7,0,181.1,13.3,14,212.3,88.3,15.3,0,2,50,1,1,"SANMCA210",4,2,86,48,22,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,"3","No",1,"80","No","4-Medium","Other","Other","No"
3000290,"No",17.43,20,17,0,1,0,15,1.3,0.3,2.3,5.3,1,0,3.7,0,0,5.3,1,2.7,0,0,56,1,1,"NSHNSH615",1,1,1695,44,0,"No","No","No","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","No",0,"4","No",0,"Unknown","No","4-Medium","Town","Other","No"
3000294,"No",107.25,1671,75,0,126,0,-641,-29.7,6.7,11.3,33.7,0,0,633.4,42,45,329,130.7,18,0,14.7,54,1,1,"OMAOMA402",4,3,492,0,0,"No","Yes","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,"0","No",2,"10","No","4-Medium","Suburban","Other","Unknown"
3000298,"No",163.54,1438,83,2.48,0,0.1,-186,93.9,15,0.7,88,0.3,2,426.9,58,29,514,124.3,15.7,0,30,50,2,1,"PHXTUC520",7,4,100,50,0,"No","No","Yes","Yes","Yes","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,"7","No",1,"150","No","4-Medium","Town","Other","Unknown"
3000302,"No",66.28,1230,60,2.97,53,0,217,-8.6,4,1.3,40.3,9.7,0,258.3,103.7,26,215.7,155.3,5.3,0,4.3,52,1,1,"SANAUS512",7,3,659,30,0,"No","Yes","No","Yes","Yes","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,"7","No",3,"30","No","1-Highest","Other","Other","No"
3000310,"No",21.12,18,19,0,9,0,10,12.1,0,0,0,0,0,8.5,1,0.3,11.3,3.3,0,0,0,54,1,1,"DALDAL214",2,2,839,54,54,"Yes","No","No","Yes","No","Known","Yes","Yes","No","Yes","Yes","Yes",0,0,"No","Yes",0,"7","No",0,"30","No","1-Highest","Suburban","Professional","Yes"
3000318,"Yes",136.42,560,71,0.5,163,0,79,64.6,7,1,21.3,0,0,246.1,36.3,28.3,138.3,52.3,8,0,2.3,56,3,2,"DALDTN940",6,5,374,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,"0","No",1,"30","No","4-Medium","Other","Other","Unknown"
3000322,"No",76.74,1008,60,0.5,65,6.7,-52,5.4,2,8.7,82,0,0,244.1,105,41,225.3,197,10.7,0,8.7,52,3,3,"OMALNC402",7,5,163,54,46,"No","Yes","Yes","Yes","Yes","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","No",0,"7","No",1,"40","No","1-Highest","Suburban","Other","Yes"
3000330,"No",196.76,3479,85,4.95,872,0,-394,-36.3,7,25,149.7,0.7,0,1005.4,67.3,196,1177.3,175.3,32,0,38.3,54,3,2,"OKCLRK501",7,3,47,38,60,"No","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"7","No",0,"30","No","1-Highest","Suburban","Other","Unknown"
3000346,"No",79.44,831,75,4.46,0,0,119,1.5,2,2,10,0,0,282.6,37.3,13,155,32.3,4,0,2.3,56,1,1,"DALFTW817",8,6,49,30,30,"No","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","No",0,"8","No",0,"200","No","4-Medium","Other","Other","No"
3000350,"No",56.31,1010,60,0,10,0,14,-3.1,4,2.3,31.3,0.7,0,151.1,17,19,76.7,81,6.3,0,0.3,52,1,1,"OMALNC402",10,5,4,42,0,"No","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,"1","No",5,"100","No","3-Good","Suburban","Crafts","No"
3000354,"No",79.59,828,75,0,0,2.1,299,-1.1,10.3,4,32.7,0.3,0.3,176.5,36,14.3,250,21.7,14.3,0,6.3,50,1,1,"KCYKCM816",5,4,350,52,52,"No","Yes","Yes","Yes","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,"2","No",0,"150","No","1-Highest","Suburban","Professional","No"
3000362,"No",35.3,148,45,0,0,0,-86,-0.3,1.7,3,11.3,0,0,38.5,7.3,3.3,46,20.7,4.7,0,0,50,1,1,"KCYKCK913",3,2,331,50,50,"No","Yes","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",1,1,"No","Yes",0,"6","No",3,"40","Yes","4-Medium","Suburban","Other","Unknown"
3000374,"No",75.73,493,85,0.74,0,0,-196,-0.7,2.7,1.7,12,0,0,1.8,1,0,61,25.7,4.3,0,0.3,52,1,1,"INDIND317",5,5,158,48,38,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,"9","No",0,"30","No","1-Highest","Town","Other","Yes"
3000378,"No",49.99,820,60,0,2,0,26,0,1.7,11,33.3,6.7,0,139,17.7,1.7,100.3,46.7,12.7,0,4,56,1,1,"NSHNSH615",3,3,451,48,44,"Yes","No","Yes","Yes","No","Known","Yes","Yes","No","Yes","No","Yes",0,0,"No","Yes",0,"7","No",0,"30","No","1-Highest","Town","Professional","Yes"
3000382,"No",23.5,34,15,0,30,0,19,4,0,0.3,0.7,0.3,0,0,15.7,0,18.3,3.7,0.3,0,0,52,1,1,"DALFTW817",1,1,1583,68,68,"No","No","No","Yes","No","Known","Yes","Yes","Yes","No","No","Yes",0,0,"Yes","No",0,"6","No",0,"Unknown","No","1-Highest","Suburban","Other","Yes"
3000386,"No",29.99,148,30,0,0,0,20,0,6,1.3,11,0.7,1,7.2,6,0,65.7,7,7.3,0,0,54,1,1,"DENDEN303",4,4,527,56,0,"No","No","Yes","Yes","No","Known","No","No","No","No","No","No",0,0,"Yes","No",0,"1","No",0,"30","No","4-Medium","Other","Other","No"
3000394,"No",103.28,1376,85,0.74,38,7.7,355,52.9,5.7,7.3,52.7,3,0,188.1,30,5.3,211.3,124.7,13,0,2.3,56,2,1,"SANSAN210",2,2,652,48,0,"Yes","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,"4","No",0,"30","No","1-Highest","Suburban","Other","Yes"
3000398,"No",71.86,538,75,0.5,0,0,58,-0.6,6,3.3,13.3,0,0,99.7,31.3,7,113.3,21,9.3,0,3.7,54,3,2,"SANSAN210",4,3,161,40,40,"Yes","No","Yes","Yes","Yes","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,"7","No",0,"10","No","1-Highest","Rural","Homemaker","Yes"
3000406,"No",114.13,1650,83,1.73,52,0,-177,17.9,3.7,5.3,23,0,0,362.5,90,34,412,56.7,9.3,0,21.3,50,6,4,"SANSAN210",4,4,306,40,34,"No","Yes","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,"4","No",0,"130","No","1-Highest","Other","Clerical","No"
3000410,"Yes",90.25,952,50,0,161,0,308,51.2,11.7,1.3,47.3,0,0,464.2,8.3,7.3,300,95,13,0,10.3,54,1,1,"SLCSLC801",2,1,1475,NA,NA,"No","No","No","No","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,"0","No",0,"30","No","6-VeryLow","Other","Other","Unknown"
3000414,"Yes",53.79,1020,58,0.99,162,0,110,-50.8,1,4.3,25,0,0,240.4,50.3,31,239.3,110,5.3,0,15,54,1,1,"SANSAN210",7,7,163,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,"6","No",1,"200","No","1-Highest","Other","Other","No"
3000418,"No",45.85,70,50,0,0,0.4,-14,16.4,0.7,0,7.3,0,0,1.1,11.3,0.7,26,11.3,0.7,0,0,52,2,2,"NYCMAN917",4,4,11,46,44,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"6","No",0,"150","No","1-Highest","Other","Professional","No"
3000422,"No",95.17,161,89,0,0,0,78,34,0.7,0.7,1.3,0,0,31.6,14,0,38,22.7,1.3,0,0,56,4,4,"DALDAL214",2,2,1116,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,"0","No",0,"30","No","1-Highest","Town","Other","Unknown"
3000426,"Yes",90.61,1151,95,0.25,22,0,225,-5.6,3,0.3,20.7,1.3,0,476,19.3,15,70,52.3,3.3,0,1.7,54,4,2,"PHXTUC520",2,1,1599,0,0,"No","No","No","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,"0","No",0,"30","No","1-Highest","Other","Other","Unknown"
3000434,"No",226,2338,78,0,370,1.9,-366,-95.4,13.7,12,48,0,0,609.7,32,48.7,286.3,98,25.7,0,8.3,54,1,1,"SANSAN210",5,4,240,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,"0","No",0,"30","No","4-Medium","Suburban","Other","Unknown"
3000442,"No",105.84,784,80,0.25,0,17.8,-30,18.4,1.7,2.3,18,0,0,479.1,16.3,2.7,197.3,38.7,4,0,1.3,54,2,2,"OKCTUL918",24,5,452,62,62,"Yes","Yes","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"6","No",0,"30","No","1-Highest","Suburban","Other","Yes"
3000458,"No",113.52,1807,85,1.98,102,1,-373,-16.4,4.3,19,69.7,0,0,658.3,37,48.3,517.7,72.7,23.3,0,6,52,2,1,"SANMCA210",9,4,387,48,0,"No","Yes","Yes","Yes","No","Known","No","Yes","No","No","No","Yes",0,0,"No","Yes",0,"7","No",0,"80","No","1-Highest","Suburban","Other","Yes"
3000462,"Yes",51.46,368,45,1.98,39,0.8,-174,-13.7,4.3,1.3,26.7,0,0,81.9,26.3,1.7,69,26.3,5.7,0,2.3,56,1,1,"DALFTW817",3,2,701,48,0,"No","No","No","No","No","Known","Yes","Yes","No","Yes","No","Yes",0,0,"No","Yes",0,"6","No",0,"30","No","1-Highest","Other","Professional","Yes"
3000466,"No",35.58,291,45,0.5,0,0,-18,0.4,4.7,5,42,0,0,76.3,5,2.3,46.3,63.3,9.7,0,1.7,52,1,1,"MILMIL414",3,2,135,42,34,"No","No","Yes","No","No","Known","No","No","No","No","No","No",0,0,"Yes","No",0,"5","No",0,"30","No","3-Good","Suburban","Other","Unknown"
3000474,"No",114.54,1172,83,0.99,0,8.7,184,-27.8,4.7,10.3,39,0.3,0,353.5,91.7,86.7,442,32.3,15,0,11,54,1,1,"SANMCA210",4,4,773,44,44,"Yes","Yes","No","Yes","Yes","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"7","Yes",1,"30","No","1-Highest","Rural","Other","Yes"
3000490,"Yes",138.48,1580,77,1.73,227,0,-338,-57.5,2.7,3,20,0.3,0,650.5,56.7,24.7,219.7,48.3,5.7,0,4,50,1,1,"NOLKEN504",7,7,336,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,"0","No",1,"10","No","1-Highest","Other","Other","Unknown"
3000494,"Yes",159.52,2256,83,3.22,666,0.6,-2239,-76.5,11,13.3,82.7,0,0,753.2,119.7,97.7,449.7,239.7,24.3,0,64,54,2,2,"SANMCA210",12,10,318,38,66,"No","No","Yes","Yes","No","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,"3","No",1,"Unknown","No","3-Good","Other","Other","No"
3000502,"No",50.48,711,50,0.5,0,0,-53,-0.5,0.7,0,38.3,0,0,282.6,73.3,46.7,121,164.7,0.7,0,0,56,1,1,"NYCMAN917",3,3,430,38,0,"Yes","No","Yes","No","No","Known","Yes","Yes","No","Yes","Yes","Yes",0,0,"No","Yes",0,"6","No",0,"60","No","2-High","Other","Professional","No"
